Column,char,dialog,movie
0,DEAGOL,"Oh Smeagol Ive Got One! , Ive Got A Fish Smeagol, Smeagol!",The Return of the King
1,SMEAGOL,"Pull It In! Go On, Go On, Go On, Pull It In!",The Return of the King
2,DEAGOL,Arrghh!,The Return of the King
3,SMEAGOL,Deagol!,The Return of the King
4,SMEAGOL,Deagol!,The Return of the King
5,SMEAGOL,Deagol!,The Return of the King
6,SMEAGOL,Give Us That! Deagol My Love,The Return of the King
7,DEAGOL,Why?,The Return of the King
8,SMEAGOL,"Because' , It's My Birthday And I Wants It.",The Return of the King
9,SMEAGOL,My Precious.,The Return of the King
10,SMEAGOL,They Cursed Us,The Return of the King
11,GOLLUM,Murderer,The Return of the King
12,SMEAGOL,'murderer' They Called Us. They Cursed Us And Drove Us Away.,The Return of the King
13,SMEAGOL,"Gollum' Gollum' Gollum' , And We Wept Precious. We Wept To Be So Alone.",The Return of the King
14,SMEAGOL,"And Cool, So Nice For Feet' And We Only Wish To Catch A Fish , So Juicy Sweet.",The Return of the King
15,SMEAGOL,"And We Forgot The Taste Of Bread, The Sound Of Trees And The Softness Of The Wind. We Even Forgot Our Own Name.",The Return of the King
16,FRODO,Gandalf?,The Return of the King
17,FRODO,Oooohhh!,The Return of the King
18,MERRY,Frodo!,The Return of the King
19,GIMLI,Aaaahh!,The Return of the King
20,FRODO,Gimli!,The Return of the King
21,GOLLUM,My Precious!,The Return of the King
22,GOLLUM,"Wake Up! , Wake Up! ,wake Up Sleepies! We Must Go, Yes, We Must Go At Once.",The Return of the King
23,SAM,Haven't You Had Any Sleep Mr Frodo?,The Return of the King
24,SAM,"And I've Gone And Had Too Much. , It Must Be Getting Late.",The Return of the King
25,FRODO,"No, It Isn't. It Isn't Midday Yet. , The Days Are Growing Darker.",The Return of the King
26,GOLLUM,Come On! Must Go! No Time!,The Return of the King
27,SAM,Not Before Mr Frodo's Had Something To Eat.,The Return of the King
28,GOLLUM,No Time To Lose Silly!,The Return of the King
29,SAM,Here.,The Return of the King
30,FRODO,What About You?,The Return of the King
31,SAM,"Oh No, I'm Not Hungry, Leastways Not For Lembas Bread.",The Return of the King
32,FRODO,Sam!,The Return of the King
33,FRODO,Aragorn!,The Return of the King
34,GANDALF,Now Come The Days Of The King. May They Be Blessed.,The Return of the King
35,ARAGORN,"This Day Does Not Belong To One Man, But To All. Let Us Together Rebuild This World, That We May Share In The Days Of Peace.",The Return of the King
36,ARAGORN,Et E'rello Endorenna Ut'lien. Sinome Maruvan Ar Hildinyar Tenn' Ambar-metta!,The Return of the King
37,ARAGORN,Hannon Le.,The Return of the King
38,ARAGORN,"My Friends, , You Bow To No-one.",The Return of the King
39,FRODO,"And Thus It Was A Fourth Age Of Middle Earth Began. And The Fellowship Of The Ring, Though Eternally Bound By Friendship And Love Was Ended. Thirteen Months To The Day Since Gandalf Sent Us On Our Long Journey We Find Ourselves Looking Upon A Familiar Sight.",The Return of the King
40,FRODO,We Were Home.,The Return of the King
41,PIPPIN,Alright!,The Return of the King
42,HOBBIT,Hey Watch The Pumpkin.,The Return of the King
43,ROSIE,Goodnight Lads.,The Return of the King
44,SAM,"Oh Alright, But We Don't Have That Much Left. We Have To Be Careful Or We Are Going To Run Out. You Go Ahead And Eat That Mr Frodo. I've Rationed It, There Should Be Enough.",The Return of the King
45,FRODO,For What?,The Return of the King
46,SAM,The Journey Home.,The Return of the King
47,GOLLUM,"Come Hobbitses, Very Close Now. Very Close To Mordor. No Safe Places Here. Hurry.",The Return of the King
48,MERRY,"It's Good. Definitely From The Shire. ,longbottom Leaf Eh?",The Return of the King
49,PIPPIN,"Uhh Huh , I Feel Like I'm Back At The Green Dragon.",The Return of the King
50,MERRY,"Mmmm , Green Dragon!",The Return of the King
51,PIPPIN,A Mug Of Ale In My Hand. Putting My Feet Up On A Settle After A Hard Day's Work.,The Return of the King
52,MERRY,"Only, , You've Never Done A Hard Day's Work.",The Return of the King
53,PIPPIN,Ahaha!,The Return of the King
54,MERRY,"Welcome, My Lords To Isengard!",The Return of the King
55,GIMLI,You Young Rascals. A Merry Hunt You've Led Us On And Now We Find You Feasting And ' And Smoking!,The Return of the King
56,PIPPIN,Hmm?,The Return of the King
57,FRODO,"How Do You Pick Up The Threads Of An Old Life? How Do You Go On, When In Your Heart You Begin To Understand There Is No Going Back? There Are Some Things That Time Cannot Mend. Some Hurts That Go Too Deep, That Have Taken Hold.",The Return of the King
58,SAM,Mr Frodo? What Is It?,The Return of the King
59,FRODO,It's Been Four Years To The Day Since Weathertop Sam. It's Never Really Healed.,The Return of the King
60,SAM,"There And Back Again, A Hobbits Tale By Bilbo Baggins And The Lord Of The Rings By Frodo Baggins. You Finished It.",The Return of the King
61,FRODO,Not Quite. There's Room For A Little More.,The Return of the King
62,FRODO,"Bilbo Once Told Me His Part In This Tale Would End. That Each Of Us Must Come And Go In The Telling. Bilbo's Story Was Now Over. There Would Be No More Journeys For Him. , Save One.",The Return of the King
63,BILBO,"Tell Me Again Lad, Where Are We Going?",The Return of the King
64,FRODO,To The Harbour Bilbo. The Elves Have Accorded You A Special Honour. A Place On The Last Ship To Leave Middle Earth.,The Return of the King
65,BILBO,"Frodo, Any Chance Of Seeing That Old Ring Of Mine Again? The One I Gave You?",The Return of the King
66,PIPPIN,"We Are Sitting On A Field Of Victory Enjoying A Few Well Earned Comforts , The Salted Pork Is Particularly Good.",The Return of the King
67,GIMLI,Salted Pork',The Return of the King
68,GANDALF,Hobbits!,The Return of the King
69,MERRY,We're Under Orders From Treebeard Who's Taken Over Management Of Isengard.,The Return of the King
70,TREEBEARD,"Hoooom, Young Master Gandalf, I'm Glad You've Come. Wood And Water, Stock And Stone I Can Master, But There Is A Wizard To Manage Here Locked In His Tower",The Return of the King
71,ARAGORN,Show Yourself.,The Return of the King
72,GANDALF,"Be Careful. Even In Defeat, Saruman Is Dangerous.",The Return of the King
